sentence,source,class
So there is no way for me to plug it in here in the US unless I go by a converter.,amazon,negative
"Good case, Excellent value.",amazon,positive
Great for the jawbone.,amazon,positive
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,amazon,negative
The mic is great.,amazon,positive
I have to jiggle the plug to get it to line up right to get decent volume.,amazon,negative
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",amazon,negative
If you are Razr owner...you must have this!,amazon,positive
"Needless to say, I wasted my money.",amazon,negative
What a waste of money and time!.,amazon,negative
And the sound quality is great.,amazon,positive
He was very impressed when going from the original battery to the extended battery.,amazon,positive
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,amazon,negative
Very good quality though,amazon,positive
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",amazon,negative
Highly recommend for any one who has a blue tooth phone.,amazon,positive
I advise EVERYONE DO NOT BE FOOLED!,amazon,negative
So Far So Good!.,amazon,positive
Works great!.,amazon,positive
It clicks into place in a way that makes you wonder how long that mechanism would last.,amazon,negative
"I went on Motorola's website and followed all directions, but could not get it to pair again.",amazon,negative
I bought this to use with my Kindle Fire and absolutely loved it!,amazon,positive
The commercials are the most misleading.,amazon,negative
I have yet to run this new battery below two bars and that's three days without charging.,amazon,positive
I bought it for my mother and she had a problem with the battery.,amazon,negative
Great Pocket PC / phone combination.,amazon,positive
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,amazon,positive
I didn't think that the instructions provided were helpful to me.,amazon,negative
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,amazon,negative
Doesn't hold charge.,amazon,negative
"This is a simple little phone to use, but the breakage is unacceptible.",amazon,negative
This product is ideal for people like me whose ears are very sensitive.,amazon,positive
It is unusable in a moving car at freeway speed.,amazon,negative
I have two more years left in this contract and I hate this phone.,amazon,negative
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,amazon,positive
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,amazon,negative
It has kept up very well.,amazon,positive
Poor Talk Time Performance.,amazon,negative
The case is great and works fine with the 680.,amazon,positive
worthless product.,amazon,negative
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",amazon,positive
I was not impressed by this product.,amazon,negative
Nice headset priced right.,amazon,positive
I only hear garbage for audio.,amazon,negative
Excellent bluetooth headset.,amazon,positive
It has all the features I want,amazon,positive
Who in their right mind is gonna buy this battery?.,amazon,negative
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,amazon,negative
This case seems well made.,amazon,positive
Disappointed with battery.,amazon,negative
Not loud enough and doesn't turn on like it should.,amazon,negative
good protection and does not make phone too bulky.,amazon,positive
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,amazon,positive
This phone is pretty sturdy and I've never had any large problems with it.,amazon,positive
I love this thing!,amazon,positive
Everything about it is fine and reasonable for the price i.e.,amazon,positive
VERY DISAPPOINTED.,amazon,negative
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,amazon,positive
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,amazon,positive
The buttons for on and off are bad.,amazon,negative
Essentially you can forget Microsoft's tech support.,amazon,negative
"I really recommend this faceplates since it looks very nice, elegant and cool.",amazon,positive
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,amazon,positive
Buy a different phone - but not this.,amazon,negative
You have to hold the phone at a particular angle for the other party to hear you clearly.,amazon,negative
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,amazon,negative
"A week later after I activated it, it suddenly died.",amazon,negative
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,amazon,positive
Great for iPODs too.,amazon,positive
This device is great in several situations:1.),amazon,positive
Mic Doesn't work.,amazon,negative
"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",amazon,negative
Great choice!,amazon,positive
Nice docking station for home or work.,amazon,positive
This is a beautiful phone.,amazon,positive
Love this product.,amazon,positive
Do Not Buy for D807...wrongly advertised for D807.,amazon,negative
This is a great little item.,amazon,positive
"I love this phone , It is very handy and has a lot of features .",amazon,positive
I purchased this and within 2 days it was no longer working!!!!!!!!!,amazon,negative
I wear it everyday and it holds up very well.,amazon,positive
Not a good bargain.,amazon,negative
